Id,Date,latitude,longitude,PK_SiteClass,ClassName,SiteName,Description,FK_Site,Elevation
98,x11/16/2009,31.54550186,-108.9872577,7c3a6115-1dc2-4b74-bf70-2d80f4540aa6,South Forest Pasture,03-05-01-00136-004-C01,Start T1,b5913f5c-5a39-4a8e-bc72-24adb0523b63,5555
99,x11/24/2009,31.5595713,-109.010773,7c3a6115-1dc2-4b74-bf70-2d80f4540aa6,South Forest Pasture,03-05-01-00136-004-C03,Start T1,2d756cdf-132b-4051-9337-b328ca064cd1,
100,x9/20/2010,31.34720469,-110.9918838,869d264d-342c-4149-b789-2d91d70336b8,Mariposa Pasture,03-05-02-00219-001-C01,,dcbeaf94-75c2-461f-8b30-f9c15a92bc9c,
101,x9/16/2010,31.35577637,-110.993292,869d264d-342c-4149-b789-2d91d70336b8,Mariposa Pasture,03-05-02-00219-001-C03,,8741bf1e-c061-4dde-9b74-9369c2508f61,4022
102,x10/15/2020,31.47685911,-111.2638864,e452f424-d675-4f50-ab22-2e0921796f91,Sheehy Pasture,03-05-02-00206-004-C02,From Shapefile,b770a288-4380-459d-8d9b-d96a6a30b066,
103,x10/21/2010,31.79405254,-110.6943678,9c81ec44-0db1-4eb2-9f21-2e6585b3bbfd,House Pasture,03-05-02-00253-001-C02,,e3dd266d-f7f2-4883-a8f6-195366cba0a8,4995
104,x10/17/2020,31.34653091,-110.5099434,9570fc7e-9f07-427e-83bb-2e907a821393,Lower Pasture,03-05-03-00309-001-C01,From Shapefile,47a77766-e37c-4ad3-bf6b-7f17fb8e5df8,
105,x10/17/2020,32.25298631,-110.5973477,8d2b268e-93c4-48b1-be79-2f7f79a5710d,Anillo Pasture,03-05-05-00504-002-C02,,bbaba85d-f7ab-41c8-a400-21a5a349dcb7,
106,x10/17/2020,32.24265682,-110.5917143,8d2b268e-93c4-48b1-be79-2f7f79a5710d,Anillo Pasture,03-05-05-00504-002-C05,From Site Notes,febb4415-465d-4cad-8b9f-76c3ce2a9b15,
107,x10/16/2020,32.71816746,-110.3524879,c2b9248d-1213-48a7-ad56-2ff06dfcc341,Horse Pasture,03-05-04-00426-26A-K01,From shapefile,f92ad061-2ef9-4bf0-8b2f-5cff97fde933,
108,x10/16/2020,32.7178012,-109.791218,d1380749-a1be-4bfc-8346-306cfa30da99,Rincon Pasture,03-05-04-00415-15D-K01,From Shapefile,540b406c-3ce2-4a66-9d04-4a31e067add5,
109,x9/30/2009,31.6895794,-110.6667596,bd3a3627-309d-4b4b-9266-30fdb4c686bf,Unknown Pasture ?????,03-05-02-?????-???-K05 ?????,,8678a62a-d5ab-445b-9ef8-76c9c6c58576,4935
110,x9/19/2020,31.67573149,-108.9999464,6460c51b-6e9a-4126-a9aa-32d9dfc726a8,North Pasture,03-05-01-00130-301-C02,From Shapefile,fcead946-7dbe-4106-b91a-b408fdbcb859,
